index,session,date_of_session,date_to_guess,day_of_week,guess,time
0,1,2022-03-19,1901-07-28,0,0,40.7412
1,1,2022-03-19,2216-12-29,0,0,47.2239
2,1,2022-03-19,1710-08-20,3,3,40.9176
3,1,2022-03-19,2446-05-31,4,4,46.798
4,1,2022-03-19,1766-06-09,1,1,37.285
5,1,2022-03-19,1955-12-27,2,2,35.6603
6,1,2022-03-19,1691-12-15,6,6,70.1925
7,1,2022-03-19,1993-09-19,0,1,50.6303
8,1,2022-03-19,2411-10-04,2,2,38.1654
9,1,2022-03-19,1903-05-26,2,6,26.9962
10,1,2022-03-19,1769-07-24,1,1,58.81
11,1,2022-03-19,1619-07-10,3,2,53.8213
12,2,2022-03-20,1958-02-12,3,3,80.1862
13,2,2022-03-20,2367-06-12,1,1,41.198
14,2,2022-03-20,2342-07-28,2,0,56.1241
15,2,2022-03-20,2075-09-13,5,6,48.7698
16,2,2022-03-20,2358-03-27,4,4,35.0238
17,2,2022-03-20,1961-06-21,3,3,33.0876
18,2,2022-03-20,2416-06-02,4,4,48.2768
19,2,2022-03-20,2078-01-24,1,1,50.2985
20,2,2022-03-20,2143-11-10,0,5,19.7172
21,2,2022-03-20,1936-05-23,6,6,53.3065
22,2,2022-03-20,1695-07-22,5,4,50.6084
23,2,2022-03-20,1788-08-05,2,2,30.2013
24,2,2022-03-20,1637-07-06,1,0,21.3614
25,2,2022-03-20,2188-12-26,5,5,36.2682
26,2,2022-03-20,2015-07-19,0,6,38.4882
27,2,2022-03-20,2303-03-22,0,0,27.0104
28,2,2022-03-20,1979-03-28,3,3,38.1694
29,2,2022-03-20,2028-04-29,6,6,49.316
30,2,2022-03-20,2079-04-21,5,5,25.4674
31,2,2022-03-20,1625-04-05,6,6,19.1666
32,2,2022-03-20,1624-06-16,0,0,16.8521
33,2,2022-03-20,1611-10-11,2,2,9.8515
34,2,2022-03-20,1722-01-10,6,6,28.2274
35,2,2022-03-20,2299-05-24,3,4,28.0909
36,2,2022-03-20,2098-11-21,5,1,37.7472
37,2,2022-03-20,2348-12-11,6,6,29.0605
38,3,2022-03-21,1685-05-20,0,0,29.9
39,3,2022-03-21,1984-05-04,5,5,39.2681
40,3,2022-03-21,2182-07-13,6,6,37.16
41,3,2022-03-21,1742-12-16,0,0,24.2637
42,3,2022-03-21,1851-06-23,1,1,39.1815
43,3,2022-03-21,2307-12-09,1,1,23.2269
44,3,2022-03-21,2205-05-09,4,4,15.6698
45,3,2022-03-21,1849-05-02,3,1,15.2759
46,3,2022-03-21,2025-05-25,0,0,40.0593
47,3,2022-03-21,2252-01-27,2,2,45.1579
48,3,2022-03-21,2261-05-24,5,5,36.7418
49,3,2022-03-21,1617-01-30,1,0,29.7857
50,3,2022-03-21,1733-03-24,2,0,28.5177
51,3,2022-03-21,2430-11-19,2,0,42.7722
52,3,2022-03-21,2089-05-04,3,3,49.4118
53,3,2022-03-21,1826-04-22,6,3,61.4085
54,4,2022-03-22,1831-03-09,3,3,30.9166
55,4,2022-03-22,1842-02-17,4,4,42.0105
56,4,2022-03-22,1632-03-13,6,4,23.6899
57,4,2022-03-22,2354-10-22,5,5,40.3104
58,4,2022-03-22,1886-06-17,4,4,33.1514
59,4,2022-03-22,2323-10-15,1,1,19.8522
60,4,2022-03-22,2384-07-25,3,2,42.1766
61,4,2022-03-22,1912-10-18,5,5,19.768
62,4,2022-03-22,1596-01-16,2,6,33.6092
63,4,2022-03-22,1922-07-10,1,0,40.0881
64,4,2022-03-22,2163-02-04,5,5,30.579
65,4,2022-03-22,1864-02-10,3,3,32.4395
66,4,2022-03-22,1818-09-26,6,0,19.745
67,4,2022-03-22,2442-08-25,1,1,33.4804
68,4,2022-03-22,2012-11-06,2,0,30.8734
70,5,2022-03-23,2113-08-27,0,0,25.0428
71,5,2022-03-23,1985-10-05,6,6,22.12
72,5,2022-03-23,2020-07-18,6,6,13.504
73,5,2022-03-23,2166-12-01,1,0,50.4878
74,5,2022-03-23,2418-01-15,1,1,21.5922
75,5,2022-03-23,2201-08-10,1,1,12.2174
76,5,2022-03-23,2311-11-16,4,2,16.6785
77,5,2022-03-23,2444-04-28,4,4,39.8321
78,5,2022-03-23,1923-12-15,6,6,19.504
79,5,2022-03-23,2442-05-31,6,6,36.2721
80,5,2022-03-23,2298-06-27,1,1,34.688
81,5,2022-03-23,1956-08-24,5,5,20.248
82,5,2022-03-23,2087-07-17,4,5,28.6971
83,5,2022-03-23,2336-03-20,5,5,45.863
84,5,2022-03-23,1761-05-21,4,4,30.72
85,5,2022-03-23,2210-06-19,2,2,29.76
86,5,2022-03-23,2030-12-07,6,6,26.4488
87,5,2022-03-23,1991-07-02,2,4,27.5033
88,5,2022-03-23,2311-02-25,6,6,32.081
89,5,2022-03-23,2367-02-23,4,4,35.375
90,5,2022-03-23,2069-12-03,2,2,26.872
91,5,2022-03-23,1907-09-24,2,2,26.664
92,5,2022-03-23,1673-01-12,4,4,26.4968
93,5,2022-03-23,2203-10-12,3,3,22.5913
94,5,2022-03-23,1663-07-20,5,6,16.832
95,5,2022-03-23,1928-07-17,2,2,18.648
96,5,2022-03-23,1703-07-16,1,1,12.6561
97,6,2022-03-24,1842-10-30,0,0,20.2256
98,6,2022-03-24,2381-05-07,4,4,24.0879
99,6,2022-03-24,2246-03-14,6,0,19.0708
100,6,2022-03-24,2163-11-15,2,2,20.9611
101,6,2022-03-24,1630-06-16,0,0,22.4009
102,6,2022-03-24,2320-05-15,6,6,20.1128
103,6,2022-03-24,2054-03-03,2,2,31.2856
104,6,2022-03-24,2257-01-03,6,6,34.1219
105,6,2022-03-24,1763-04-26,2,2,30.1748
106,6,2022-03-24,2164-07-27,5,5,26.3231
107,6,2022-03-24,2330-04-27,0,0,34.2908
108,6,2022-03-24,2020-09-18,5,6,20.5708
109,6,2022-03-24,1596-10-15,2,2,45.1646
110,6,2022-03-24,1758-10-04,3,3,21.5638
111,6,2022-03-24,1703-11-14,3,1,9.6262
112,6,2022-03-24,2303-12-07,1,1,28.4986
113,6,2022-03-24,2426-06-19,5,5,38.0033
114,6,2022-03-24,2164-05-25,5,5,26.7096
115,6,2022-03-24,1681-02-20,4,4,27.0075
116,6,2022-03-24,2307-12-02,1,1,29.0592
117,6,2022-03-24,1972-01-28,5,2,43.3917
118,6,2022-03-24,1812-05-07,4,4,20.0463
119,6,2022-03-24,2107-03-31,4,4,18.2279
120,6,2022-03-24,1972-07-25,2,2,21.2623
121,6,2022-03-24,2188-02-13,3,4,15.5936
122,6,2022-03-24,2413-10-29,2,2,20.2641
123,6,2022-03-24,1978-05-07,0,0,32.1795
124,6,2022-03-24,1844-01-10,3,3,22.5293
125,6,2022-03-24,1927-09-10,6,6,20.6409
126,6,2022-03-24,2047-07-24,3,3,27.8769
127,6,2022-03-24,1606-10-07,6,6,11.2034
128,6,2022-03-24,2149-05-18,0,0,23.062
129,6,2022-03-24,2223-09-22,1,2,15.5271
130,6,2022-03-24,2003-12-25,4,5,11.9229
131,6,2022-03-24,1614-08-19,2,2,22.3967
132,6,2022-03-24,2287-07-05,2,0,20.7979
133,6,2022-03-24,2289-05-19,0,0,29.7648
134,6,2022-03-24,2045-12-31,0,0,16.3905
135,6,2022-03-24,1730-06-18,0,0,18.4768
136,6,2022-03-24,1716-12-22,2,2,13.7379
137,6,2022-03-24,1900-11-08,4,4,9.6801
